5,0
4.85,0
4.54309,0.0161767
4.06655,0.069085
3.39968,0.18897
2.50974,0.42768
1.34684,0.891783
-0.138642,1.86082
-1.50734,4.21067
-1.27275,6.33644
-0.610295,7.84484
0.145073,8.92013
0.88688,9.67569
1.56717,10.1763
2.15538,10.4609
2.62433,10.554
2.94256,10.4717
3.06634,10.2261
2.9262,9.83189
2.39631,9.3269
1.21845,8.86871
-0.953507,9.33351
-2.07989,11.0774
-2.34122,12.7891
-2.14268,14.2476
-1.6758,15.4247
-1.04484,16.3153
-0.320585,16.9099
0.433588,17.1863
1.13886,17.1034
1.658,16.5949
1.66651,15.5952
0.331354,14.5188
-1.35916,15.0309
-2.41393,16.2301
-2.91217,17.6069
-2.96913,18.9674
-2.66046,20.2089
-2.03622,21.2476
-1.13824,21.9842
-0.0310484,22.2641
1.08617,21.8128
1.38,20.3663
0.196004,19.5984
-1.09321,19.8512
-2.08986,20.6791
-2.71851,21.8276
-2.95429,23.1456
-2.76952,24.514
-2.12005,25.7961
-0.952424,26.7615
0.659987,26.9042
1.60984,25.6373
1.2163,24.673
0.391366,24.3567
-0.510489,24.56
-1.3403,25.1781
-2.00525,26.1434
-2.41639,27.407
-2.45377,28.9169
-1.91759,30.5632
-0.480628,31.9449
1.46683,31.7919
2.22678,30.9979
2.28467,30.3621
1.9569,30.0028
1.39932,29.9368
0.704347,30.1716
-0.0577002,30.7233
-0.8136,31.6241
-1.45522,32.9288
-1.76038,34.7125
-1.14513,36.9079
0.846133,38.0123
2.2277,38.0271
3.04333,37.7809
3.4592,37.4978
3.57133,37.2588
3.43567,37.1059
3.08665,37.0707
2.54664,37.1858
1.83195,37.4939
0.959806,38.0603
-0.0340537,38.9996
-1.01975,40.5385
-1.32976,43.0458
0.0392567,44.8639
1.38556,45.6034
2.40669,45.8492
3.10502,45.847
3.50304,45.7145
3.61359,45.5234
3.43698,45.3304
2.96016,45.1959
2.15537,45.2059
0.984079,45.521
-0.529014,46.5234
-1.528,48.9608
-1.11745,50.9731
-0.347512,52.3509
0.477439,53.2773
1.2531,53.8654
1.9273,54.1809
